url,label
https://docs.python.org/3/library/urllib.parse.html,legitimate
https://example.com/account/settings,legitimate
https://example.com/security/otp-safety,legitimate
https://example.com/student/announcements,legitimate
https://example.net/classroom/lab-instructions,legitimate
https://example.net/cloud/shared-folder,legitimate
https://example.org/projects/slides-submit,legitimate
https://example.org/refunds/status,legitimate
https://example.org/workplace/maintenance,legitimate
https://fastapi.tiangolo.com/tutorial/,legitimate
https://portal.university.edu/login,legitimate
https://scikit-learn.org/stable/modules/feature_extraction.html,legitimate
https://support.example.com/help/password-reset,legitimate
https://www.bank-example.com/account/statement,legitimate
https://www.example.org/about/contact,legitimate
https://www.openai.com/research,legitimate
https://www.university.edu/events/cybersecurity-workshop,legitimate
https://www.wikipedia.org/,legitimate
http://192.168.10.55/verify-account,phishing
http://203.0.113.42/admin/login,phishing
http://203.0.113.77/account/verify,phishing
http://account-verify-login.example-risk.test/session,phishing
http://banking-alert.example-risk.test/update-password,phishing
http://cloud-lock.example-risk.test/recover,phishing
http://example-risk.test/.env,phishing
http://free-prize-claim.example-risk.test/reward,phishing
http://invoice-download.example-risk.test/enable-macros,phishing
http://otp-check.example-risk.test/confirm-code,phishing
http://password-reset.example-risk.test/urgent,phishing
http://password-reset.example-risk.test/urgent/verify,phishing
http://refund-claim.example-risk.test/card-update,phishing
http://secure-login-example.com@malicious.test/update,phishing
http://student-portal.example-risk.test/verify-now,phishing
http://verify-account.example-risk.test/confirm?session=abc123&token=xyz789,phishing
http://verify-account.example-risk.test/login,phishing
https://login.security.example-risk.test.verify-now.info,phishing
